id,screen_name,created_at,text
1234243237818372096,RosieBarton,2020-03-01 22:24:53,"RT @Carolyn_Bennett: Over the past three days, there have been frank and substantive discussions, guided by Wiggus (respect), on the comple…"
1234192610463559680,RosieBarton,2020-03-01 19:03:43,RT @CBCTheNational: The proposal will be reviewed by the Wet'suwet'en people before details are released https://t.co/mC1ncFsKBp
1233499120498810880,RosieBarton,2020-02-28 21:08:02,@jdutchermusic @CBCTheNational @ChantalHbert @acoyne @althiaraj @markusoff Also a fan of yours. And point well made and well received.  👍
1233191418979606528,RosieBarton,2020-02-28 00:45:20,A little extra At Issue coming for you tonight on @CBCTheNational with @ChantalHbert @acoyne @althiaraj and… https://t.co/bHFU428k9A
1233165871331397634,RosieBarton,2020-02-27 23:03:49,@urbaninfogirl We should not encourage him.
1233129089101451266,RosieBarton,2020-02-27 20:37:39,RT @althiaraj: From the PMO: https://t.co/mJSMNrvKoY
1233121142782726144,RosieBarton,2020-02-27 20:06:05,RT @JPTasker: BREAKING | Lynn Beyak has been suspended from the Senate for a second time. https://t.co/byM9p1BHfP #cdnpoli https://t.co/150…
1233098768473624580,RosieBarton,2020-02-27 18:37:10,RT @CBCAlerts: Update: Statement just released by the Wet'suwet'en hereditary chiefs on why they have moved ahead on this meeting today. ht…
1233096787826704387,RosieBarton,2020-02-27 18:29:18,Latest from the hereditary chiefs on why they have moved ahead on this meeting today. https://t.co/nI4dENZjQY
1233079312087212039,RosieBarton,2020-02-27 17:19:52,"RT @stephcoombs: We are looking for three young journalists to join the @CBCEdmonton newsroom for the summer. #cdnmedia #journojobs

Come w…"
1233063294493175811,RosieBarton,2020-02-27 16:16:13,From @EvanDyerCBC https://t.co/mQZ3mIKJUM
1233046355330945024,RosieBarton,2020-02-27 15:08:54,RT @cbcpodcasts: This week on #PartyLines: Teck shocked Albertans when the company scrapped their oilsands project Sunday. The CEO encourag…
1233031573898919936,RosieBarton,2020-02-27 14:10:10,RT @Alex_Panetta: Which presidential hopeful would be best for Canada? I asked all the Democrats who’ve served as ambassador to Canada for…
1233026993828093953,RosieBarton,2020-02-27 13:51:58,Update from the Minister https://t.co/S5OPwknYP6
1233014991806173184,RosieBarton,2020-02-27 13:04:17,RT @CBCNews: The first deadline for qualifying to be a candidate to replace Andrew Scheer as Conservative leader passes at 5 p.m. ET today.…
1233008159993815043,RosieBarton,2020-02-27 12:37:08,@elamin88 https://t.co/2wGwBfrleg
1233006791061049344,RosieBarton,2020-02-27 12:31:41,He tried so hard to get Paw Patrol in there...find out if he succeeded. 👇👇 https://t.co/42X3vIUr19
1232993598918012928,RosieBarton,2020-02-27 11:39:16,"RT @RobynBresnahan: Meeting of Wet'suwet'en hereditary chiefs, federal, provincial governments set after 'miscommunication' https://t.co/lN…"
1232844189655851010,RosieBarton,2020-02-27 01:45:34,"RT @CBCtanya: @cbcnewsbc ""...We remain interested in meeting with Wet’suwet’en Hereditary Chiefs and will continue to engage with them and…"
1232844181099417600,RosieBarton,2020-02-27 01:45:32,"RT @CBCtanya: @cbcnewsbc ""...We had hoped the Hereditary Chiefs would agree to a period of peace and respect during the talks, which would…"
1235235070040059904,realDonaldTrump,2020-03-04 16:06:04,"Mini Mike, “Three months ago I entered the race for President to defeat Donald Trump, (and I failed miserably!)."
1235232818692792320,realDonaldTrump,2020-03-04 15:57:08,"Mini Mike Bloomberg will now FIRE Tim O’Brien, and all of the fools and truly dumb people who got him into this MES… https://t.co/hOA5Sen29S"
1235228511314620416,realDonaldTrump,2020-03-04 15:40:01,Mini Mike Bloomberg just “quit” the race for President. I could have told him long ago that he didn’t have what it… https://t.co/iCz5dTj6Iv
1235226619528335369,realDonaldTrump,2020-03-04 15:32:30,"The Mayor of Los Angeles, @ericgarcetti, is dealing with us trying to get the Federal Government to fix the terribl… https://t.co/t3asbDDxcb"
